bHLMN0,bHLMN1,bHLMN2,bOPCL0,bOPCL1,bOPCL2,sEVNT0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
20,0,3,30,12,14,10,30,90,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_30_90,-0.38,15.18,-0.27,27,-23,-23
30,0,3,30,12,14,10,20,30,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_20_30,0.4,7.47,0.82,8,0,0
20,0,2,30,12,14,10,20,90,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_20_90,5.7,12.32,3.8,1,5,5
30,0,5,30,14,16,10,40,60,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_40_60,0.77,13.21,0.79,131,35,35
30,0,6,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_6_30_12_14_10_40_30,1.04,9.0,2.09,203,109,109
30,0,5,30,16,18,10,20,30,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_20_30,-0.14,9.92,-0.29,64,-40,-40
10,0,4,30,12,14,10,30,60,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_30_60,1.4,11.96,1.42,323,290,52
10,0,4,30,12,14,10,30,60,2016,2016-12-30 21:32:00,10_0_4_30_12_14_10_30_60,0.19,12.68,0.2,152,-47,52
30,0,4,30,12,14,10,20,90,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_20_90,2.58,13.48,1.85,81,168,168
20,0,2,30,12,14,10,30,30,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_30_30,-0.43,3.72,-0.87,1,0,0
30,0,3,30,12,14,10,30,90,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_30_90,4.95,15.07,3.4,8,35,35
30,0,5,30,16,18,10,20,60,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_20_60,-0.2,12.48,-0.22,64,-44,-44
10,0,4,20,12,14,10,30,90,2017,2017-06-02 15:56:00,10_0_4_20_12_14_10_30_90,1.62,15.62,1.13,77,86,86
10,0,3,30,12,14,10,30,90,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_30_90,0.9,13.59,0.61,106,42,42
20,0,2,30,12,14,10,20,60,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_20_60,9.2,15.81,9.2,1,8,8
30,0,3,30,12,14,10,20,60,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_20_60,4.28,15.85,4.48,8,30,29
30,0,5,30,14,16,10,30,30,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_30_30,0.11,9.52,0.23,131,-51,-51
10,0,2,30,12,14,10,20,90,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_20_90,-1.23,10.15,-0.88,6,-10,-10
20,0,3,30,12,14,10,20,90,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_20_90,0.3,13.59,0.22,27,-5,-5
20,0,2,30,12,14,10,30,90,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_30_90,5.7,12.32,3.8,1,5,5
30,0,10,30,14,16,10,30,30,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_30_30,0.56,11.16,1.14,565,33,33
15,0,5,30,12,14,10,30,90,2017,2017-06-02 17:42:00,15_0_5_30_12_14_10_30_90,1.46,14.98,1.01,211,202,202
20,0,4,30,12,14,10,30,60,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_30_60,1.27,12.51,1.3,157,120,120
20,0,2,30,12,14,10,20,30,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_20_30,-0.43,3.72,-0.87,1,0,0
30,0,3,30,12,14,10,20,90,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_20_90,4.38,15.81,3.11,8,31,31
10,0,1,30,12,14,10,30,30,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_30_30,1.2,0.0,2.32,30,21,21
30,0,5,30,16,18,10,40,60,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_40_60,-0.59,13.8,-0.6,64,-69,-69
15,0,5,30,12,14,10,30,30,2017,2017-06-02 17:42:00,15_0_5_30_12_14_10_30_30,0.9,8.85,1.81,210,84,84
30,0,2,30,12,14,10,30,60,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_30_60,22.3,0.0,22.3,0,0,0
10,0,4,20,12,14,10,30,30,2017,2017-06-02 15:56:00,10_0_4_20_12_14_10_30_30,1.19,8.92,2.39,77,53,53
30,0,10,30,14,16,10,30,60,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_30_60,0.94,15.09,0.98,565,248,-66
30,0,10,30,14,16,10,30,60,2016,2016-12-30 21:42:00,30_0_10_30_14_16_10_30_60,-0.16,15.82,-0.17,302,-199,-66
10,0,4,30,12,14,10,30,90,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_30_90,1.63,14.41,1.12,323,364,86
10,0,4,30,12,14,10,30,90,2016,2016-12-30 21:32:00,10_0_4_30_12_14_10_30_90,0.3,15.32,0.21,152,-30,86
15,0,5,30,12,14,10,30,60,2017,2017-06-02 17:42:00,15_0_5_30_12_14_10_30_60,1.47,12.46,1.5,210,203,203
10,0,2,30,12,14,10,20,60,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_20_60,-0.74,10.38,-0.77,12,-14,-14
30,0,10,30,14,16,10,40,30,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_40_30,0.52,11.35,1.05,565,11,11
10,0,4,30,12,14,10,20,30,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_20_30,0.88,8.29,1.77,323,122,122
30,0,2,30,12,14,10,20,90,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_20_90,21.0,0.0,14.0,0,0,0
20,0,4,30,12,14,10,30,30,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_30_30,0.66,8.02,1.34,157,25,25
30,0,2,30,12,14,10,30,30,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_30_30,3.6,0.0,7.2,0,0,0
30,0,10,30,14,16,10,40,60,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_40_60,0.92,15.35,0.94,565,237,-87
30,0,10,30,14,16,10,40,60,2016,2016-12-30 21:42:00,30_0_10_30_14_16_10_40_60,-0.24,16.24,-0.24,302,-223,-87
10,0,2,30,12,14,10,30,90,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_30_90,-1.79,11.44,-1.26,12,-27,-27
20,0,3,30,12,14,10,30,30,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_30_30,-0.53,7.47,-1.06,27,-27,-27
30,0,2,30,12,14,10,20,60,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_20_60,22.3,0.0,22.3,0,0,0
10,0,2,30,12,14,10,30,30,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_30_30,-0.16,7.51,-0.32,12,-7,-7
20,0,3,30,12,14,10,30,60,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_30_60,-0.53,14.71,-0.54,27,-27,-27
10,0,1,30,12,14,10,20,90,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_20_90,1.7,0.0,1.11,30,36,36
15,0,4,30,12,14,10,30,90,2017,2017-06-02 17:42:00,15_0_4_30_12_14_10_30_90,1.32,14.43,0.91,106,86,86
30,0,4,30,12,14,10,20,30,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_20_30,1.16,8.03,2.36,81,53,53
30,0,4,30,12,14,10,30,60,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_30_60,2.31,11.94,2.37,81,146,146
20,0,4,30,12,14,10,30,90,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_30_90,1.2,14.72,0.83,157,109,109
20,0,2,30,12,14,10,30,60,2017,2017-05-31 23:23:00,20_0_2_30_12_14_10_30_60,9.2,15.81,9.2,1,8,8
30,0,5,30,14,16,10,20,30,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_20_30,0.25,9.02,0.52,131,-32,-32
30,0,5,30,16,18,10,30,60,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_30_60,-0.59,13.63,-0.62,64,-69,-69
30,0,8,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_8_30_12_14_10_40_30,0.9,9.8,1.81,329,131,131
10,0,1,30,12,14,10,20,30,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_20_30,1.2,0.0,2.32,30,21,21
30,0,5,30,14,16,10,40,30,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_40_30,0.16,9.39,0.33,131,-44,-44
20,0,3,30,12,14,10,20,30,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_20_30,-0.75,7.6,-1.54,27,-33,-33
30,0,10,30,16,18,10,30,60,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_30_60,1.05,15.69,1.1,389,213,213
10,0,4,30,12,14,10,30,30,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_30_30,0.99,8.28,1.98,374,183,183
30,0,5,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_5_30_12_14_10_40_30,1.18,8.45,2.37,124,84,84
10,0,4,30,12,14,10,20,90,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_20_90,1.55,13.93,1.11,323,339,53
10,0,4,30,12,14,10,20,90,2016,2016-12-30 21:32:00,10_0_4_30_12_14_10_20_90,0.06,14.84,0.05,152,-66,53
30,0,10,30,14,16,10,20,60,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_20_60,0.8,14.33,0.88,565,169,169
10,0,4,30,12,14,10,20,60,2017,2017-06-02 17:42:00,10_0_4_30_12_14_10_20_60,1.18,11.85,1.23,323,219,219
30,0,5,30,14,16,10,30,60,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_30_60,0.85,12.93,0.89,131,45,45
10,0,1,30,12,14,10,30,60,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_30_60,2.8,0.0,2.75,45,103,103
30,0,3,30,12,14,10,30,60,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_30_60,4.86,15.09,4.98,8,34,34
30,0,4,30,12,14,10,30,30,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_30_30,1.21,7.94,2.45,81,57,57
30,0,2,30,12,14,10,30,90,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_30_90,21.0,0.0,14.0,0,0,0
30,0,5,30,14,16,10,20,60,2017,2017-06-02 12:20:00,30_0_5_30_14_16_10_20_60,1.05,12.28,1.13,131,72,72
10,0,3,30,12,14,10,20,60,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_60,0.76,11.09,0.79,106,27,27
30,0,2,30,12,14,10,20,30,2017,2017-05-31 23:23:00,30_0_2_30_12_14_10_20_30,3.6,0.0,7.2,0,0,0
30,0,4,30,12,14,10,30,90,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_30_90,2.31,14.25,1.6,81,146,146
20,0,4,30,12,14,10,20,90,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_90,1.44,13.85,1.04,157,147,147
30,0,10,30,16,18,10,20,60,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_20_60,0.97,15.04,1.07,389,182,182
10,0,3,30,12,14,10,20,30,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_30,1.03,7.56,2.09,106,56,56
20,0,4,30,12,14,10,20,60,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_60,1.22,12.16,1.28,157,113,113
10,0,1,30,12,14,10,30,90,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_30_90,1.7,0.0,1.11,30,36,36
10,0,3,30,12,14,10,30,30,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_30_30,1.15,7.38,2.3,106,68,68
20,0,4,30,12,14,10,20,30,2017,2017-06-02 17:42:00,20_0_4_30_12_14_10_20_30,0.64,7.97,1.31,157,21,21
10,0,3,30,12,14,10,30,60,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_30_60,0.59,11.72,0.59,106,9,9
15,0,4,30,12,14,10,30,30,2017,2017-06-02 17:42:00,15_0_4_30_12_14_10_30_30,0.82,7.72,1.64,106,33,33
10,0,2,30,12,14,10,20,30,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_20_30,0.15,6.28,0.31,12,-4,-4
10,0,4,20,12,14,10,30,60,2017,2017-06-02 15:56:00,10_0_4_20_12_14_10_30_60,1.31,12.96,1.35,77,62,62
20,0,3,30,12,14,10,20,60,2017,2017-06-01 05:43:00,20_0_3_30_12_14_10_20_60,0.11,13.17,0.11,27,-10,-10
30,0,9,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_9_30_12_14_10_40_30,0.79,10.05,1.59,366,106,106
10,0,2,30,12,14,10,30,60,2017,2017-05-31 23:23:00,10_0_2_30_12_14_10_30_60,-1.35,11.81,-1.39,12,-22,-22
30,0,5,30,16,18,10,40,30,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_40_30,-0.43,10.7,-0.86,64,-59,-59
30,0,10,30,14,16,10,20,30,2017,2017-06-02 16:00:00,30_0_10_30_14_16_10_20_30,0.55,10.77,1.14,565,28,28
30,0,10,30,16,18,10,40,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_40_30,0.64,12.03,1.3,389,54,54
15,0,4,30,12,14,10,30,60,2017,2017-06-02 17:42:00,15_0_4_30_12_14_10_30_60,1.37,12.0,1.4,106,92,92
10,0,1,30,12,14,10,20,60,2017,2017-01-02 13:38:00,10_0_1_30_12_14_10_20_60,2.8,0.0,2.75,30,69,69
30,0,4,30,12,14,10,20,60,2017,2017-06-02 12:19:00,30_0_4_30_12_14_10_20_60,2.31,11.72,2.42,81,146,146
30,0,10,30,16,18,10,30,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_30_30,0.7,11.82,1.43,389,77,77
30,0,10,30,16,18,10,40,60,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_40_60,1.06,15.89,1.08,389,217,217
30,0,10,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_10_30_12_14_10_40_30,0.81,10.52,1.64,395,122,122
30,0,10,30,16,18,10,20,30,2017,2017-06-02 15:14:00,30_0_10_30_16_18_10_20_30,0.76,11.43,1.6,389,101,101
10,0,3,30,12,14,10,20,90,2017,2017-06-01 08:33:00,10_0_3_30_12_14_10_20_90,1.15,12.78,0.82,106,68,68
30,0,7,30,12,14,10,40,30,2017,2017-06-02 17:42:00,30_0_7_30_12_14_10_40_30,0.82,9.36,1.66,268,85,85
30,0,5,30,16,18,10,30,30,2017,2017-05-31 08:39:00,30_0_5_30_16_18_10_30_30,-0.45,10.72,-0.91,64,-60,-59
30,0,3,30,12,14,10,30,30,2017,2017-05-31 23:23:00,30_0_3_30_12_14_10_30_30,0.97,6.18,1.94,8,3,3
