bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
40,10,14,10,30,20,60,2017,2017-06-02 17:43:00,40_10_14_10_30_20_60,0.61,13.41,0.68,736,80,80
40,16,20,10,40,30,60,2017,2017-06-02 15:34:00,40_16_20_10_40_30_60,0.14,15.93,0.14,355,-127,-127
40,8,16,10,40,30,90,2017,2017-06-02 19:35:00,40_8_16_10_40_30_90,0.75,16.31,0.53,521,130,130
40,10,14,10,30,30,60,2017,2017-06-02 17:42:00,40_10_14_10_30_30_60,0.84,13.89,0.89,772,262,262
30,10,14,10,40,20,60,2017,2017-06-02 17:42:00,30_10_14_10_40_20_60,0.7,13.98,0.77,684,136,136
30,8,16,10,30,30,60,2017,2017-06-02 19:29:00,30_8_16_10_30_30_60,0.69,13.84,0.73,773,146,146
40,8,16,10,30,30,90,2017,2017-06-02 19:35:00,40_8_16_10_30_30_90,0.72,15.87,0.52,532,117,117
40,8,14,10,40,20,30,2017,2017-06-02 19:39:00,40_8_14_10_40_20_30,0.34,9.9,0.71,978,-156,-156
30,8,14,10,30,20,60,2017,2017-06-02 19:29:00,30_8_14_10_30_20_60,0.57,13.27,0.63,806,56,56
40,16,20,10,40,30,30,2017,2017-06-02 15:34:00,40_16_20_10_40_30_30,0.3,12.28,0.62,355,-71,-71
40,8,14,10,30,30,60,2017,2017-06-02 19:35:00,40_8_14_10_30_30_60,0.66,13.36,0.7,767,122,122
40,10,16,10,30,20,60,2017,2017-06-02 17:43:00,40_10_16_10_30_20_60,0.62,13.51,0.7,777,93,93
30,10,14,10,40,20,90,2017,2017-06-02 17:42:00,30_10_14_10_40_20_90,0.58,16.26,0.45,567,45,45
30,8,16,10,30,30,30,2017,2017-06-02 19:29:00,30_8_16_10_30_30_30,0.3,10.46,0.62,944,-188,-188
40,14,16,10,40,30,60,2017,2017-06-02 15:56:00,40_14_16_10_40_30_60,0.82,15.08,0.86,402,128,128
40,8,16,10,30,20,30,2017,2017-06-02 19:39:00,40_8_16_10_30_20_30,0.39,9.83,0.81,1009,-110,-110
30,10,14,10,40,20,30,2017,2017-06-02 17:42:00,30_10_14_10_40_20_30,0.5,10.5,1.05,684,0,0
40,10,14,10,40,20,90,2017,2017-06-02 17:43:00,40_10_14_10_40_20_90,0.67,15.89,0.52,563,95,95
30,10,16,10,30,20,30,2017,2017-06-02 17:42:00,30_10_16_10_30_20_30,0.39,10.58,0.82,713,-78,-78
40,8,16,10,30,20,60,2017,2017-06-02 19:39:00,40_8_16_10_30_20_60,0.6,13.03,0.66,805,80,80
30,10,14,10,30,20,90,2017,2017-06-02 17:42:00,30_10_14_10_30_20_90,0.58,15.82,0.46,582,46,46
30,8,16,10,40,30,30,2017,2017-06-02 19:29:00,30_8_16_10_40_30_30,0.31,10.53,0.63,944,-179,-179
40,8,16,10,40,30,30,2017,2017-06-02 19:39:00,40_8_16_10_40_30_30,0.44,10.19,0.9,1009,-60,-60
40,16,20,10,40,30,90,2017,2017-06-02 15:34:00,40_16_20_10_40_30_90,0.02,18.68,0.01,355,-170,-170
40,14,18,10,40,30,60,2017,2017-06-02 15:56:00,40_14_18_10_40_30_60,0.71,15.23,0.74,456,95,95
30,8,14,10,40,20,30,2017,2017-06-02 19:29:00,30_8_14_10_40_20_30,0.42,10.09,0.87,920,-73,-73
40,8,16,10,30,30,30,2017,2017-06-02 19:39:00,40_8_16_10_30_30_30,0.41,10.04,0.84,1009,-90,-90
40,8,14,10,40,20,90,2017,2017-06-02 19:39:00,40_8_14_10_40_20_90,0.55,15.37,0.42,557,27,27
40,10,16,10,30,30,90,2017,2017-06-02 17:42:00,40_10_16_10_30_30_90,0.75,16.43,0.55,537,134,134
30,8,14,10,30,30,60,2017,2017-06-02 19:29:00,30_8_14_10_30_30_60,0.68,13.8,0.72,771,138,138
40,10,16,10,30,20,90,2017,2017-06-02 17:43:00,40_10_16_10_30_20_90,0.59,15.53,0.47,581,52,51
30,10,14,10,40,30,90,2017,2017-06-02 17:41:00,30_10_14_10_40_30_90,0.68,17.27,0.49,526,94,94
40,10,16,10,40,20,30,2017,2017-06-02 17:43:00,40_10_16_10_40_20_30,0.43,10.41,0.89,777,-54,-54
30,8,14,10,40,20,60,2017,2017-06-02 19:29:00,30_8_14_10_40_20_60,0.64,13.6,0.7,797,111,110
40,8,16,10,30,20,90,2017,2017-06-02 19:39:00,40_8_16_10_30_20_90,0.58,15.05,0.46,571,45,45
40,10,14,10,30,20,30,2017,2017-06-02 17:43:00,40_10_14_10_30_20_30,0.34,10.15,0.7,736,-117,-117
30,8,14,10,30,20,30,2017,2017-06-02 19:29:00,30_8_14_10_30_20_30,0.42,10.02,0.87,920,-73,-73
40,10,16,10,40,30,90,2017,2017-06-02 17:42:00,40_10_16_10_40_30_90,0.77,16.91,0.55,524,141,141
40,8,16,10,30,30,60,2017,2017-06-02 19:35:00,40_8_16_10_30_30_60,0.77,13.46,0.81,768,207,206
40,10,16,10,30,30,30,2017,2017-06-02 17:43:00,40_10_16_10_30_30_30,0.45,10.43,0.91,777,-38,-38
40,10,16,10,40,20,60,2017,2017-06-02 17:43:00,40_10_16_10_40_20_60,0.65,13.79,0.72,777,116,116
40,10,16,10,40,20,90,2017,2017-06-02 17:43:00,40_10_16_10_40_20_90,0.62,16.02,0.48,566,67,67
40,8,14,10,40,20,60,2017,2017-06-02 19:39:00,40_8_14_10_40_20_60,0.52,13.2,0.56,794,15,15
30,10,14,10,30,30,30,2017,2017-06-02 17:42:00,30_10_14_10_30_30_30,0.55,10.69,1.12,684,34,34
30,8,14,10,30,30,30,2017,2017-06-02 19:29:00,30_8_14_10_30_30_30,0.39,10.3,0.81,920,-101,-101
40,8,14,10,40,30,90,2017,2017-06-02 19:35:00,40_8_14_10_40_30_90,0.65,16.18,0.47,520,78,78
30,8,16,10,40,20,60,2017,2017-06-02 19:29:00,30_8_16_10_40_20_60,0.59,13.67,0.65,800,71,71
40,8,14,10,30,30,30,2017,2017-06-02 19:39:00,40_8_14_10_30_30_30,0.35,9.93,0.71,978,-146,-146
30,8,14,10,40,30,60,2017,2017-06-02 19:29:00,30_8_14_10_40_30_60,0.74,14.11,0.77,762,182,182
30,8,16,10,30,20,60,2017,2017-06-02 19:29:00,30_8_16_10_30_20_60,0.54,13.32,0.6,811,32,32
40,8,14,10,30,20,30,2017,2017-06-02 19:39:00,40_8_14_10_30_20_30,0.31,9.76,0.65,978,-185,-185
30,10,14,10,30,30,60,2017,2017-06-02 17:41:00,30_10_14_10_30_30_60,0.88,14.2,0.94,774,294,294
40,8,14,10,40,30,60,2017,2017-06-02 19:35:00,40_8_14_10_40_30_60,0.7,13.63,0.72,758,151,151
30,10,16,10,40,20,60,2017,2017-06-02 17:42:00,30_10_16_10_40_20_60,0.62,14.08,0.68,713,85,85
40,14,16,10,40,30,90,2017,2017-06-02 15:56:00,40_14_16_10_40_30_90,0.76,17.51,0.55,402,104,103
30,10,16,10,40,20,90,2017,2017-06-02 17:42:00,30_10_16_10_40_20_90,0.45,16.35,0.35,570,-28,-28
30,10,16,10,40,20,30,2017,2017-06-02 17:42:00,30_10_16_10_40_20_30,0.39,10.63,0.81,713,-78,-78
30,10,14,10,30,20,30,2017,2017-06-02 17:42:00,30_10_14_10_30_20_30,0.51,10.45,1.06,684,6,6
40,10,14,10,30,30,90,2017,2017-06-02 17:42:00,40_10_14_10_30_30_90,0.8,16.38,0.59,536,160,160
40,10,14,10,40,20,30,2017,2017-06-02 17:43:00,40_10_14_10_40_20_30,0.37,10.3,0.77,736,-95,-95
40,10,14,10,30,30,30,2017,2017-06-02 17:43:00,40_10_14_10_30_30_30,0.4,10.29,0.81,736,-73,-73
40,10,14,10,40,20,60,2017,2017-06-02 17:43:00,40_10_14_10_40_20_60,0.65,13.7,0.71,736,110,110
30,10,14,10,40,30,30,2017,2017-06-02 17:42:00,30_10_14_10_40_30_30,0.54,10.74,1.11,684,27,27
30,10,16,10,30,30,60,2017,2017-06-02 17:41:00,30_10_16_10_30_30_60,0.74,14.33,0.79,777,186,186
40,10,14,10,40,30,60,2017,2017-06-02 17:42:00,40_10_14_10_40_30_60,0.87,14.17,0.91,762,281,281
30,8,14,10,30,30,90,2017,2017-06-02 19:29:00,30_8_14_10_30_30_90,0.52,16.22,0.38,536,10,10
30,8,16,10,40,20,90,2017,2017-06-02 19:29:00,30_8_16_10_40_20_90,0.46,15.84,0.36,564,-22,-22
40,14,18,10,40,30,30,2017,2017-06-02 15:56:00,40_14_18_10_40_30_30,0.57,11.61,1.15,456,31,31
40,8,14,10,30,20,60,2017,2017-06-02 19:39:00,40_8_14_10_30_20_60,0.48,12.93,0.53,803,-16,-16
30,10,16,10,30,30,90,2017,2017-06-02 17:41:00,30_10_16_10_30_30_90,0.52,16.98,0.39,542,10,10
40,8,16,10,40,30,60,2017,2017-06-02 19:35:00,40_8_16_10_40_30_60,0.81,13.74,0.84,759,235,234
40,8,16,10,40,20,90,2017,2017-06-02 19:39:00,40_8_16_10_40_20_90,0.62,15.49,0.48,559,67,67
40,8,14,10,30,20,90,2017,2017-06-02 19:39:00,40_8_14_10_30_20_90,0.55,15.0,0.43,569,28,28
30,8,16,10,40,30,60,2017,2017-06-02 19:29:00,30_8_16_10_40_30_60,0.74,14.18,0.77,764,183,183
30,8,14,10,40,30,90,2017,2017-06-02 19:29:00,30_8_14_10_40_30_90,0.54,16.63,0.39,524,20,20
30,10,16,10,30,20,60,2017,2017-06-02 17:42:00,30_10_16_10_30_20_60,0.59,13.75,0.67,713,64,64
30,8,16,10,30,30,90,2017,2017-06-02 19:29:00,30_8_16_10_30_30_90,0.51,16.32,0.37,537,5,5
40,14,18,10,40,30,90,2017,2017-06-02 15:56:00,40_14_18_10_40_30_90,0.63,18.02,0.46,456,59,58
30,10,16,10,30,30,30,2017,2017-06-02 17:42:00,30_10_16_10_30_30_30,0.37,10.96,0.76,713,-92,-92
40,8,14,10,30,30,90,2017,2017-06-02 19:35:00,40_8_14_10_30_30_90,0.66,15.8,0.48,531,84,84
40,8,16,10,40,20,60,2017,2017-06-02 19:39:00,40_8_16_10_40_20_60,0.64,13.31,0.69,796,111,110
30,10,16,10,40,30,60,2017,2017-06-02 17:41:00,30_10_16_10_40_30_60,0.77,14.66,0.81,766,206,206
30,8,16,10,30,20,30,2017,2017-06-02 19:29:00,30_8_16_10_30_20_30,0.31,10.14,0.66,944,-179,-179
40,10,16,10,30,30,60,2017,2017-06-02 17:42:00,40_10_16_10_30_30_60,0.86,13.96,0.91,773,278,278
30,8,14,10,40,30,30,2017,2017-06-02 19:29:00,30_8_14_10_40_30_30,0.4,10.36,0.8,920,-91,-91
30,8,14,10,30,20,90,2017,2017-06-02 19:29:00,30_8_14_10_30_20_90,0.52,15.31,0.41,574,11,11
40,10,16,10,40,30,30,2017,2017-06-02 17:42:00,40_10_16_10_40_30_30,0.47,10.59,0.96,1485,-44,-44
40,18,20,10,40,30,90,2017,2017-06-02 15:19:00,40_18_20_10_40_30_90,-0.58,18.84,-0.43,229,-247,-247
30,10,14,10,40,30,60,2017,2017-06-02 17:41:00,30_10_14_10_40_30_60,0.93,14.51,0.97,764,328,328
30,8,16,10,40,30,90,2017,2017-06-02 19:29:00,30_8_16_10_40_30_90,0.52,16.74,0.37,525,10,10
40,18,20,10,40,30,30,2017,2017-06-02 15:19:00,40_18_20_10_40_30_30,0.03,11.91,0.05,229,-107,-107
40,8,14,10,40,30,30,2017,2017-06-02 19:39:00,40_8_14_10_40_30_30,0.38,10.07,0.77,978,-117,-117
30,8,16,10,30,20,90,2017,2017-06-02 19:29:00,30_8_16_10_30_20_90,0.45,15.41,0.36,577,-28,-28
30,10,14,10,30,30,90,2017,2017-06-02 17:41:00,30_10_14_10_30_30_90,0.67,16.83,0.49,540,91,91
40,10,16,10,40,30,60,2017,2017-06-02 17:42:00,40_10_16_10_40_30_60,0.88,14.23,0.92,763,289,289
30,8,16,10,40,20,30,2017,2017-06-02 19:29:00,30_8_16_10_40_20_30,0.32,10.22,0.66,944,-169,-169
40,18,20,10,40,30,60,2017,2017-06-02 15:19:00,40_18_20_10_40_30_60,-0.26,15.87,-0.27,229,-174,-174
40,10,16,10,30,20,30,2017,2017-06-02 17:43:00,40_10_16_10_30_20_30,0.4,10.24,0.84,777,-77,-77
40,10,14,10,30,20,90,2017,2017-06-02 17:43:00,40_10_14_10_30_20_90,0.68,15.47,0.54,577,103,103
30,10,16,10,40,30,90,2017,2017-06-02 17:41:00,30_10_16_10_40_30_90,0.49,17.43,0.35,528,-5,-5
30,10,16,10,40,30,30,2017,2017-06-02 17:42:00,30_10_16_10_40_30_30,0.37,11.01,0.75,713,-92,-92
40,10,14,10,40,30,90,2017,2017-06-02 17:42:00,40_10_14_10_40_30_90,0.78,16.79,0.56,524,146,146
40,14,16,10,40,30,30,2017,2017-06-02 15:56:00,40_14_16_10_40_30_30,0.64,11.43,1.3,402,56,56
30,10,16,10,30,20,90,2017,2017-06-02 17:42:00,30_10_16_10_30_20_90,0.49,15.92,0.4,586,-5,-5
30,8,14,10,40,20,90,2017,2017-06-02 19:29:00,30_8_14_10_40_20_90,0.54,15.75,0.42,561,22,22
40,8,16,10,40,20,30,2017,2017-06-02 19:39:00,40_8_16_10_40_20_30,0.42,9.99,0.87,1009,-80,-80
40,10,14,10,40,30,30,2017,2017-06-02 17:43:00,40_10_14_10_40_30_30,0.43,10.44,0.87,736,-51,-51
30,10,14,10,30,20,60,2017,2017-06-02 17:42:00,30_10_14_10_30_20_60,0.65,13.66,0.73,684,102,102
