bOPCL0,bOPCL1,bOPCL2,sEVNT0,sLOSS0,sTIME0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
20,10,12,10,30,60,2017,2017-06-02 17:39:00,20_10_12_10_30_60,1.04,15.19,1.08,516,278.0,278.0
30,10,12,11,40,60,2017,2017-06-02 17:41:00,30_10_12_11_40_60,1.27,14.87,1.29,603,464.0,464.0
30,11,12,10,40,60,2017,2017-06-02 17:41:00,30_11_12_10_40_60,1.38,14.47,1.41,402,353.0,353.0
25,10,12,10,30,60,2017,2017-06-02 17:44:00,25_10_12_10_30_60,0.96,14.99,0.99,566,260.0,260.0
30,12,14,10,40,60,2016,2016-12-30 21:41:00,30_12_14_10_40_60,0.05,16.0,0.05,505,-227.0,-227.0
30,10,12,10,50,30,2017,2017-06-02 17:41:00,30_10_12_10_50_30,0.64,10.63,1.29,603,84.0,84.0
30,10,12,10,40,30,2017,2017-06-02 17:41:00,30_10_12_10_40_30,0.65,10.59,1.3,603,90.0,90.0
30,10,12,10,20,60,2017,2017-06-02 17:41:00,30_10_12_10_20_60,0.93,14.46,1.0,603,259.0,259.0
30,10,12,10,30,30,2017,2017-06-02 17:41:00,30_10_12_10_30_30,0.63,10.54,1.27,603,78.0,78.0
30,10,11,10,40,60,2017,2017-06-02 16:08:00,30_10_11_10_40_60,1.34,14.93,1.37,492,413.0,412.0
30,12,14,10,40,50,2016,2016-12-30 21:41:00,30_12_14_10_40_50,0.05,14.7,0.06,505,-227.0,-227.0
30,10,12,10,40,59,2017,2017-06-02 17:41:00,30_10_12_10_40_59,1.28,14.69,1.32,603,470.0,135.0
30,10,12,10,40,59,2016,2016-05-11 08:36:00,30_10_12_10_40_59,0.13,16.26,0.14,686,-253.0,135.0
20,10,12,10,30,80,2017,2017-06-02 17:39:00,20_10_12_10_30_80,0.95,17.24,0.75,516,232.0,232.0
30,9,12,10,40,60,2017,2017-06-02 17:40:00,30_9_12_10_40_60,1.1,14.56,1.12,744,446.0,445.0
25,10,12,10,30,40,2017,2017-06-02 17:44:00,25_10_12_10_30_40,0.86,12.4,1.33,566,203.0,203.0
20,10,12,10,30,50,2017,2017-06-02 17:39:00,20_10_12_10_30_50,0.9,14.15,1.12,516,206.0,206.0
30,10,12,10,41,60,2017,2017-06-02 17:41:00,30_10_12_10_41_60,1.26,14.89,1.28,603,458.0,458.0
30,10,12,10,30,60,2017,2017-06-02 17:41:00,30_10_12_10_30_60,1.17,14.82,1.2,603,404.0,404.0
30,10,12,10,30,80,2017,2017-06-02 17:41:00,30_10_12_10_30_80,1.06,16.63,0.83,573,320.0,320.0
25,10,12,10,30,70,2017,2017-06-02 17:44:00,25_10_12_10_30_70,0.81,15.95,0.73,566,175.0,175.0
30,10,12,10,39,60,2017,2017-06-02 17:41:00,30_10_12_10_39_60,1.25,14.85,1.28,603,452.0,452.0
29,10,12,10,40,60,2017,2017-06-02 17:40:00,29_10_12_10_40_60,0.86,14.5,0.87,594,213.0,213.0
25,10,12,10,30,50,2017,2017-06-02 17:44:00,25_10_12_10_30_50,0.97,13.85,1.2,566,266.0,266.0
30,10,12,10,20,30,2017,2017-06-02 17:41:00,30_10_12_10_20_30,0.6,10.36,1.25,603,60.0,60.0
30,10,12,10,40,60,2017,2017-06-02 17:41:00,30_10_12_10_40_60,1.27,14.87,1.29,603,464.0,37.0
30,10,12,10,40,60,2016,2016-12-30 21:26:00,30_10_12_10_40_60,0.28,15.7,0.29,645,-141.0,37.0
30,10,12,10,40,65,2017,2017-06-02 17:41:00,30_10_12_10_40_65,1.39,15.29,1.31,603,536.0,536.0
30,10,12,9,40,60,2017,2017-06-02 17:41:00,30_10_12_9_40_60,1.26,14.88,1.28,603,458.0,458.0
30,10,12,10,40,45,2017,2017-06-02 17:41:00,30_10_12_10_40_45,1.07,12.93,1.45,603,343.0,343.0
30,10,12,10,30,70,2017,2017-06-02 17:41:00,30_10_12_10_30_70,1.19,15.8,1.06,603,416.0,415.0
25,10,12,10,30,80,2017,2017-06-02 17:44:00,25_10_12_10_30_80,0.75,16.82,0.59,566,141.0,141.0
30,10,12,10,50,60,2017,2017-06-02 17:41:00,30_10_12_10_50_60,1.27,14.94,1.29,603,464.0,464.0
31,10,12,10,40,60,2017,2017-06-02 17:43:00,31_10_12_10_40_60,0.89,14.43,0.91,611,238.0,238.0
30,12,14,10,40,40,2016,2016-12-30 21:41:00,30_12_14_10_40_40,0.01,13.34,0.02,505,-247.0,-247.0
30,10,12,10,40,50,2017,2017-06-02 17:41:00,30_10_12_10_40_50,1.17,13.66,1.43,603,404.0,404.0
20,8,10,10,30,60,2017,2017-06-02 17:43:00,20_8_10_10_30_60,0.88,14.36,0.91,718,272.0,272.0
30,10,12,10,30,40,2017,2017-06-02 17:41:00,30_10_12_10_30_40,0.95,12.17,1.45,603,271.0,271.0
20,10,12,10,30,70,2017,2017-06-02 17:39:00,20_10_12_10_30_70,1.05,16.4,0.95,516,283.0,283.0
30,10,12,10,40,70,2017,2017-06-02 17:41:00,30_10_12_10_40_70,1.32,15.86,1.16,603,494.0,494.0
30,10,12,10,40,61,2017,2017-06-02 17:41:00,30_10_12_10_40_61,1.31,14.82,1.31,676,547.0,547.0
20,8,10,10,30,40,2017,2017-06-02 17:43:00,20_8_10_10_30_40,0.66,12.03,1.01,718,114.0,114.0
30,10,12,10,30,50,2017,2017-06-02 17:41:00,30_10_12_10_30_50,1.13,13.55,1.39,603,379.0,379.0
30,10,12,10,40,40,2017,2017-06-02 17:41:00,30_10_12_10_40_40,1.01,12.19,1.52,603,307.0,307.0
20,10,12,10,30,40,2017,2017-06-02 17:39:00,20_10_12_10_30_40,0.58,12.77,0.89,516,41.0,41.0
30,10,13,10,40,60,2017,2017-06-02 17:41:00,30_10_13_10_40_60,1.08,15.14,1.1,656,380.0,380.0
30,10,12,10,40,55,2017,2017-06-02 17:41:00,30_10_12_10_40_55,1.25,14.23,1.38,603,452.0,452.0
30,10,12,10,40,61,2016,2016-12-30 21:59:00,30_10_12_10_40_61,0.25,15.81,0.26,645,-161.0,48.0
30,10,12,10,40,65,2016,2016-12-30 21:59:00,30_10_12_10_40_65,0.31,16.29,0.29,645,-122.0,72.0
