bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
5,12,12,20,10,28,2016,2016-01-04 16:15:00,5_12_12_20_10_28,-5.7,19.15,-6.38,76,-494,-494
5,12,12,20,8,20,2016,2016-01-04 16:15:00,5_12_12_20_8_20,2.29,12.54,5.63,76,113,113
10,12,8,20,4,24,2016,2016-01-04 17:00:00,10_12_8_20_4_24,-9.5,14.45,-13.93,114,-1174,-1174
25,10,8,20,6,18,2016,2016-01-04 20:14:00,25_10_8_20_6_18,-4.42,12.16,-6.93,311,-1623,-1623
20,18,18,20,6,26,2016,2016-01-04 16:16:00,20_18_18_20_6_26,-0.27,14.04,-0.51,98,-104,-104
25,18,38,20,8,26,2016,2016-01-04 16:16:00,25_18_38_20_8_26,-3.91,17.03,-4.36,129,-607,-607
25,18,28,20,8,26,2016,2016-01-04 16:16:00,25_18_28_20_8_26,-3.91,17.03,-4.36,129,-607,-607
5,8,8,20,10,28,2016,2016-01-04 16:57:00,5_8_8_20_10_28,-8.56,19.65,-7.74,182,-1703,-1703
5,10,4,20,2,26,2016,2016-01-04 16:14:00,5_10_4_20_2_26,-1.0,7.79,-5.28,106,-190,-190
10,10,10,20,12,28,2016,2016-01-04 17:56:00,10_10_10_20_12_28,-6.68,19.09,-4.23,212,-1585,-1585
10,10,2,20,2,24,2016,2016-01-04 17:56:00,10_10_2_20_2_24,-1.02,9.02,-3.85,190,-345,-345
20,18,56,20,8,26,2016,2016-01-04 16:16:00,20_18_56_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,46,20,8,26,2016,2016-01-04 16:16:00,20_18_46_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,22,20,8,26,2016,2016-01-04 16:16:00,15_18_22_20_8_26,-3.35,17.18,-4.96,83,-344,-344
5,10,20,20,4,28,2016,2016-01-04 16:14:00,5_10_20_20_4_28,-5.32,14.89,-17.39,106,-648,-648
20,8,4,20,4,24,2016,2016-01-04 20:08:00,20_8_4_20_4_24,-3.17,11.89,-5.27,319,-1266,-1266
20,18,46,20,8,28,2016,2016-01-04 16:16:00,20_18_46_20_8_28,0.11,15.58,0.16,98,-67,-67
20,16,22,20,6,26,2016,2016-01-04 16:24:00,20_16_22_20_6_26,-2.51,15.17,-4.33,136,-450,-450
20,18,34,20,8,26,2016,2016-01-04 16:16:00,20_18_34_20_8_26,0.61,14.58,1.01,98,-18,-18
30,10,8,20,6,18,2016,2016-01-04 20:12:00,30_10_8_20_6_18,-2.66,11.57,-4.7,334,-1155,-1155
5,10,12,20,6,28,2016,2016-01-04 16:14:00,5_10_12_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
20,18,24,20,8,26,2016,2016-01-04 16:16:00,20_18_24_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,40,20,8,26,2016,2016-01-04 16:16:00,15_18_40_20_8_26,-3.35,17.18,-4.96,83,-344,-344
25,14,24,20,6,26,2016,2016-01-04 17:33:00,25_14_24_20_6_26,-5.72,16.3,-8.28,212,-1382,-1382
10,10,8,20,8,24,2016,2016-01-04 17:56:00,10_10_8_20_8_24,-6.42,15.91,-6.29,212,-1530,-1530
10,12,14,20,8,22,2016,2016-01-04 17:00:00,10_12_14_20_8_22,-9.85,15.62,-10.22,121,-1288,-1288
10,8,4,20,2,22,2016,2016-01-04 20:04:00,10_8_4_20_2_22,-2.03,9.72,-6.27,266,-752,-752
5,12,12,20,8,28,2016,2016-01-04 16:15:00,5_12_12_20_8_28,1.42,14.42,2.76,76,47,47
20,18,16,20,6,24,2016,2016-01-04 16:16:00,20_18_16_20_6_24,-2.07,14.51,-4.72,98,-281,-281
25,10,18,20,4,26,2016,2016-01-04 20:14:00,25_10_18_20_4_26,-3.33,13.22,-4.05,326,-1346,-1346
35,8,10,20,6,16,2016,2016-01-04 20:28:00,35_8_10_20_6_16,-4.08,11.39,-6.28,395,-1927,-1927
20,18,60,20,8,28,2016,2016-01-04 16:16:00,20_18_60_20_8_28,0.11,15.58,0.16,98,-67,-67
5,10,4,20,2,20,2016,2016-01-04 16:14:00,5_10_4_20_2_20,-0.59,6.34,-3.25,106,-147,-147
5,10,16,20,4,28,2016,2016-01-04 16:14:00,5_10_16_20_4_28,-5.32,14.89,-17.39,106,-648,-648
5,12,12,20,8,26,2016,2016-01-04 16:15:00,5_12_12_20_8_26,1.42,14.42,2.76,76,47,47
5,10,4,20,2,16,2016,2016-01-04 16:14:00,5_10_4_20_2_16,-0.14,4.76,-0.83,106,-99,-99
20,18,60,20,8,26,2016,2016-01-04 16:16:00,20_18_60_20_8_26,0.61,14.58,1.01,98,-18,-18
35,8,10,20,6,18,2016,2016-01-04 20:28:00,35_8_10_20_6_18,-4.44,11.93,-5.69,395,-2069,-2069
5,10,12,20,12,28,2016,2016-01-04 16:14:00,5_10_12_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
20,18,56,20,10,26,2016,2016-01-04 16:16:00,20_18_56_20_10_26,-4.72,18.58,-5.56,98,-540,-540
5,16,8,20,8,24,2016,2016-01-04 16:15:00,5_16_8_20_8_24,-6.98,18.09,-22.03,30,-233,-233
10,12,2,20,2,28,2016,2016-01-04 17:00:00,10_12_2_20_2_28,-4.42,13.18,-9.35,83,-433,-433
25,16,18,20,6,26,2016,2016-01-04 17:17:00,25_16_18_20_6_26,-6.54,16.83,-8.37,174,-1277,-1277
10,12,8,20,8,26,2016,2016-01-04 17:00:00,10_12_8_20_8_26,-12.93,17.01,-12.5,114,-1565,-1565
10,12,14,20,4,28,2016,2016-01-04 17:00:00,10_12_14_20_4_28,-10.74,16.6,-14.41,121,-1396,-1396
35,10,10,20,4,16,2016,2016-01-04 20:17:00,35_10_10_20_4_16,-2.86,9.63,-6.33,311,-1138,-1138
10,10,2,20,2,22,2016,2016-01-04 17:56:00,10_10_2_20_2_22,-0.54,7.77,-2.12,190,-254,-253
20,18,58,20,8,24,2016,2016-01-04 16:16:00,20_18_58_20_8_24,-1.08,15.2,-2.12,98,-184,-184
5,10,4,20,10,26,2016,2016-01-04 16:14:00,5_10_4_20_10_26,-14.05,16.91,-14.68,106,-1574,-1574
15,8,6,20,10,26,2016,2016-01-04 20:04:00,15_8_6_20_10_26,-8.25,17.53,-6.17,319,-2886,-2886
20,8,4,20,4,22,2016,2016-01-04 20:08:00,20_8_4_20_4_22,-3.56,11.76,-6.4,319,-1390,-1390
20,14,20,20,6,26,2016,2016-01-04 17:12:00,20_14_20_20_6_26,-7.25,16.52,-8.79,182,-1465,-1465
20,16,16,20,8,26,2016,2016-01-04 16:24:00,20_16_16_20_8_26,-1.34,15.91,-2.12,136,-291,-291
10,8,16,20,10,28,2016,2016-01-04 20:04:00,10_8_16_20_10_28,-7.6,18.16,-5.2,281,-2360,-2360
15,14,4,20,4,24,2016,2016-01-04 16:14:00,15_14_4_20_4_24,-4.93,12.99,-11.69,98,-561,-561
20,18,62,20,6,26,2016,2016-01-04 16:16:00,20_18_62_20_6_26,-0.27,14.04,-0.51,98,-104,-104
15,18,16,20,6,26,2016,2016-01-04 16:16:00,15_18_16_20_6_26,-1.59,14.79,-4.98,83,-198,-198
5,12,14,20,8,24,2016,2016-01-04 16:15:00,5_12_14_20_8_24,2.03,13.1,4.97,76,93,93
5,12,8,20,8,26,2016,2016-01-04 16:15:00,5_12_8_20_8_26,1.61,14.07,3.17,76,61,61
5,10,6,20,8,26,2016,2016-01-04 16:14:00,5_10_6_20_8_26,-14.2,16.58,-16.57,106,-1590,-1590
15,18,58,20,8,26,2016,2016-01-04 16:16:00,15_18_58_20_8_26,-3.35,17.18,-4.96,83,-344,-344
15,18,48,20,8,26,2016,2016-01-04 16:16:00,15_18_48_20_8_26,-3.35,17.18,-4.96,83,-344,-344
10,10,4,20,2,16,2016,2016-01-04 17:56:00,10_10_4_20_2_16,0.6,5.32,3.23,205,-41,-41
30,10,10,20,6,16,2016,2016-01-04 20:12:00,30_10_10_20_6_16,-2.63,11.26,-5.09,334,-1145,-1145
30,10,10,20,6,18,2016,2016-01-04 20:12:00,30_10_10_20_6_18,-2.65,11.77,-4.6,334,-1152,-1152
10,10,4,20,2,18,2016,2016-01-04 17:56:00,10_10_4_20_2_18,0.47,5.74,2.55,205,-67,-67
5,10,10,20,8,20,2016,2016-01-04 16:14:00,5_10_10_20_8_20,-10.38,13.72,-12.92,106,-1185,-1185
10,10,4,20,2,20,2016,2016-01-04 17:56:00,10_10_4_20_2_20,0.34,6.23,1.85,205,-94,-94
15,10,2,20,8,28,2016,2016-01-04 17:20:00,15_10_2_20_8_28,-5.04,17.29,-4.58,220,-1284,-1284
5,12,14,20,8,22,2016,2016-01-04 16:15:00,5_12_14_20_8_22,2.03,13.1,4.97,76,93,93
5,12,8,20,8,20,2016,2016-01-04 16:15:00,5_12_8_20_8_20,2.22,12.69,5.53,76,107,107
5,12,10,20,6,20,2016,2016-01-04 16:15:00,5_12_10_20_6_20,1.4,10.21,4.1,76,45,45
30,12,10,20,8,18,2016,2016-01-04 17:27:00,30_12_10_20_8_18,-4.15,13.04,-5.68,258,-1277,-1277
10,18,6,20,2,24,2016,2016-01-04 16:15:00,10_18_6_20_2_24,-1.5,11.61,-7.41,53,-121,-121
10,10,2,20,8,30,2016,2016-01-04 17:56:00,10_10_2_20_8_30,-5.16,18.39,-4.36,190,-1132,-1132
10,10,16,20,4,28,2016,2016-01-04 17:56:00,10_10_16_20_4_28,-5.24,14.53,-8.42,220,-1328,-1328
20,8,6,20,6,20,2016,2016-01-04 20:08:00,20_8_6_20_6_20,-5.11,12.81,-7.09,334,-1973,-1973
20,16,52,20,8,26,2016,2016-01-04 16:24:00,20_16_52_20_8_26,-1.31,15.94,-2.05,136,-286,-286
5,12,14,20,4,28,2016,2016-01-04 16:15:00,5_12_14_20_4_28,0.52,10.21,2.11,76,-21,-21
10,10,4,20,10,28,2016,2016-01-04 17:56:00,10_10_4_20_10_28,-5.82,18.9,-3.75,205,-1357,-1357
10,12,4,20,2,22,2016,2016-01-04 17:00:00,10_12_4_20_2_22,-3.62,10.58,-10.07,106,-468,-468
20,18,40,20,8,24,2016,2016-01-04 16:16:00,20_18_40_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,10,4,20,2,26,2016,2016-01-04 17:56:00,10_10_4_20_2_26,-0.13,7.86,-0.51,205,-190,-190
20,18,50,20,8,24,2016,2016-01-04 16:16:00,20_18_50_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,10,14,20,12,30,2016,2016-01-04 17:56:00,10_10_14_20_12_30,-7.16,20.22,-4.55,220,-1751,-1751
5,10,10,20,8,28,2016,2016-01-04 16:14:00,5_10_10_20_8_28,-13.5,19.11,-14.34,106,-1515,-1515
20,18,26,20,6,26,2016,2016-01-04 16:16:00,20_18_26_20_6_26,-0.27,14.04,-0.51,98,-104,-104
5,12,8,20,4,24,2016,2016-01-04 16:15:00,5_12_8_20_4_24,1.34,8.01,8.84,76,41,41
20,18,22,20,8,24,2016,2016-01-04 16:16:00,20_18_22_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,10,4,20,2,28,2016,2016-01-04 17:56:00,10_10_4_20_2_28,-0.26,8.29,-0.87,205,-217,-217
10,10,4,20,10,26,2016,2016-01-04 17:56:00,10_10_4_20_10_26,-6.04,17.49,-4.1,205,-1402,-1402
25,18,16,20,8,26,2016,2016-01-04 16:16:00,25_18_16_20_8_26,-2.44,16.43,-2.81,121,-392,-392
20,18,60,20,6,26,2016,2016-01-04 16:16:00,20_18_60_20_6_26,-0.27,14.04,-0.51,98,-104,-104
10,8,16,20,4,28,2016,2016-01-04 20:04:00,10_8_16_20_4_28,-5.98,14.51,-9.28,281,-1905,-1905
5,10,4,20,8,26,2016,2016-01-04 16:14:00,5_10_4_20_8_26,-14.16,16.63,-15.47,106,-1585,-1585
15,10,4,20,2,24,2016,2016-01-04 17:20:00,15_10_4_20_2_24,-2.3,10.06,-6.34,228,-706,-706
25,18,22,20,8,26,2016,2016-01-04 16:16:00,25_18_22_20_8_26,-3.91,17.03,-4.36,129,-607,-607
20,18,16,20,8,24,2016,2016-01-04 16:16:00,20_18_16_20_8_24,-1.08,15.2,-2.14,98,-184,-184
25,16,24,20,6,26,2016,2016-01-04 17:17:00,25_16_24_20_6_26,-6.05,16.62,-7.88,182,-1246,-1246
5,12,12,20,6,28,2016,2016-01-04 16:15:00,5_12_12_20_6_28,-0.23,13.53,-0.5,76,-78,-78
10,12,10,20,8,20,2016,2016-01-04 17:00:00,10_12_10_20_8_20,-8.46,14.51,-10.22,121,-1120,-1120
20,20,60,20,8,26,2016,2016-01-04 16:17:00,20_20_60_20_8_26,-1.89,16.47,-2.05,76,-204,-204
15,18,28,20,8,26,2016,2016-01-04 16:16:00,15_18_28_20_8_26,-3.35,17.18,-4.96,83,-344,-344
10,10,6,20,2,20,2016,2016-01-04 17:56:00,10_10_6_20_2_20,-0.27,7.37,-1.33,212,-226,-226
10,10,6,20,2,16,2016,2016-01-04 17:56:00,10_10_6_20_2_16,0.22,5.95,1.26,212,-122,-122
5,16,8,20,6,24,2016,2016-01-04 16:15:00,5_16_8_20_6_24,-7.75,17.19,-25.83,30,-256,-256
5,14,6,20,6,24,2017,2017-12-29 21:06:00,5_14_6_20_6_24,-3.51,60.43,-191.02,18,-77,-77
20,18,30,20,10,26,2016,2016-01-04 16:16:00,20_18_30_20_10_26,-4.72,18.58,-5.56,98,-540,-540
10,18,4,20,2,24,2016,2016-01-04 16:17:00,10_18_4_20_2_24,2.63,2.33,86.18,45,82,82
25,10,8,20,8,18,2016,2016-01-04 20:14:00,25_10_8_20_8_18,-5.33,13.1,-5.77,311,-1906,-1906
20,18,18,20,8,26,2016,2016-01-04 16:16:00,20_18_18_20_8_26,0.61,14.58,1.01,98,-18,-18
25,14,18,20,6,26,2016,2016-01-04 17:33:00,25_14_18_20_6_26,-6.13,16.48,-8.76,205,-1420,-1420
10,10,2,20,4,28,2016,2016-01-04 17:56:00,10_10_2_20_4_28,-3.94,13.93,-6.37,190,-900,-900
10,10,14,20,4,28,2016,2016-01-04 17:56:00,10_10_14_20_4_28,-5.24,14.53,-8.42,220,-1328,-1328
35,12,10,20,4,16,2016,2016-01-04 20:04:00,35_12_10_20_4_16,-2.75,9.77,-6.97,281,-997,-997
5,8,10,20,8,28,2016,2016-01-04 16:57:00,5_8_10_20_8_28,-9.78,18.44,-10.03,182,-1925,-1925
15,10,4,20,2,22,2016,2016-01-04 17:20:00,15_10_4_20_2_22,-1.86,9.06,-6.21,228,-606,-606
5,12,12,20,6,20,2016,2016-01-04 16:15:00,5_12_12_20_6_20,0.64,11.65,1.81,76,-12,-12
10,10,2,20,10,28,2016,2016-01-04 17:56:00,10_10_2_20_10_28,-5.16,18.05,-3.18,190,-1132,-1132
10,10,8,20,6,24,2016,2016-01-04 17:56:00,10_10_8_20_6_24,-5.3,14.78,-5.91,212,-1293,-1293
30,10,8,20,8,18,2016,2016-01-04 20:12:00,30_10_8_20_8_18,-6.08,12.65,-6.89,334,-2297,-2297
20,18,24,20,6,26,2016,2016-01-04 16:16:00,20_18_24_20_6_26,-0.27,14.04,-0.51,98,-104,-104
25,12,18,20,4,26,2016,2016-01-04 17:23:00,25_12_18_20_4_26,-4.64,14.13,-6.41,258,-1403,-1403
20,16,22,20,8,26,2016,2016-01-04 16:24:00,20_16_22_20_8_26,-1.31,15.94,-2.05,136,-286,-286
5,12,16,20,4,28,2016,2016-01-04 16:15:00,5_12_16_20_4_28,0.52,10.21,2.11,76,-21,-21
5,16,8,20,2,24,2016,2016-01-04 16:15:00,5_16_8_20_2_24,-4.5,11.18,-60.0,30,-159,-159
25,10,6,20,4,18,2016,2016-01-04 20:14:00,25_10_6_20_4_18,-3.78,10.97,-6.59,296,-1355,-1355
10,12,2,20,8,28,2016,2016-01-04 17:00:00,10_12_2_20_8_28,-13.01,20.42,-11.45,83,-1146,-1146
20,16,40,20,8,26,2016,2016-01-04 16:24:00,20_16_40_20_8_26,-1.31,15.94,-2.05,136,-286,-286
20,16,50,20,8,26,2016,2016-01-04 16:24:00,20_16_50_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,10,2,20,10,26,2016,2016-01-04 17:56:00,10_10_2_20_10_26,-6.92,17.63,-4.62,197,-1520,-1520
20,18,46,20,6,26,2016,2016-01-04 16:16:00,20_18_46_20_6_26,-0.27,14.04,-0.51,98,-104,-104
20,18,52,20,8,24,2016,2016-01-04 16:16:00,20_18_52_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,10,6,20,2,26,2016,2016-01-04 17:56:00,10_10_6_20_2_26,-0.97,9.35,-3.5,212,-375,-375
25,10,6,20,4,20,2016,2016-01-04 20:14:00,25_10_6_20_4_20,-3.03,11.09,-4.86,296,-1133,-1133
10,16,8,20,2,24,2016,2016-01-04 16:15:00,10_16_8_20_2_24,-0.49,7.95,-5.5,68,-87,-87
20,10,20,20,4,26,2016,2016-01-04 20:13:00,20_10_20_20_4_26,-6.21,14.19,-10.08,273,-1913,-1913
10,10,2,20,6,30,2016,2016-01-04 17:56:00,10_10_2_20_6_30,-4.93,16.96,-4.65,190,-1088,-1088
5,8,10,20,10,28,2016,2016-01-04 16:57:00,5_8_10_20_10_28,-8.56,19.65,-7.74,182,-1703,-1703
25,18,48,20,8,26,2016,2016-01-04 16:16:00,25_18_48_20_8_26,-3.91,17.03,-4.36,129,-607,-607
25,18,58,20,8,26,2016,2016-01-04 16:16:00,25_18_58_20_8_26,-3.91,17.03,-4.36,129,-607,-607
5,10,8,20,6,24,2016,2016-01-04 16:14:00,5_10_8_20_6_24,-9.18,15.83,-15.93,106,-1057,-1057
10,10,4,20,4,24,2016,2016-01-04 17:56:00,10_10_4_20_4_24,-2.54,11.58,-4.75,205,-684,-684
5,12,6,20,6,24,2016,2016-01-04 16:16:00,5_12_6_20_6_24,3.33,8.74,10.52,76,192,192
5,12,10,20,8,20,2016,2016-01-04 16:15:00,5_12_10_20_8_20,3.05,11.1,7.72,76,171,171
5,12,14,20,6,22,2016,2016-01-04 16:15:00,5_12_14_20_6_22,0.38,12.21,1.07,76,-31,-30
5,10,10,20,14,28,2016,2016-01-04 16:14:00,5_10_10_20_14_28,-12.1,21.03,-10.78,106,-1367,-1367
5,12,10,20,8,18,2016,2016-01-04 16:15:00,5_12_10_20_8_18,2.88,11.39,7.38,76,158,158
15,10,2,20,6,28,2016,2016-01-04 17:20:00,15_10_2_20_6_28,-5.3,15.6,-5.21,220,-1342,-1342
25,18,16,20,6,26,2016,2016-01-04 16:16:00,25_18_16_20_6_26,-3.32,15.82,-3.93,121,-498,-498
15,16,4,20,2,24,2016,2016-01-04 16:15:00,15_16_4_20_2_24,-1.9,10.54,-27.36,91,-245,-244
20,16,20,20,6,26,2016,2016-01-04 16:24:00,20_16_20_20_6_26,-2.51,15.17,-4.33,136,-450,-450
15,8,20,20,6,28,2016,2016-01-04 20:04:00,15_8_20_20_6_28,-4.69,15.86,-6.68,334,-1833,-1833
20,18,54,20,8,28,2016,2016-01-04 16:16:00,20_18_54_20_8_28,0.11,15.58,0.16,98,-67,-67
20,18,44,20,8,28,2016,2016-01-04 16:16:00,20_18_44_20_8_28,0.11,15.58,0.16,98,-67,-67
20,18,26,20,8,26,2016,2016-01-04 16:16:00,20_18_26_20_8_26,0.61,14.58,1.01,98,-18,-18
5,10,10,20,6,28,2016,2016-01-04 16:14:00,5_10_10_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
15,18,42,20,8,26,2016,2016-01-04 16:16:00,15_18_42_20_8_26,-3.35,17.18,-4.96,83,-344,-344
10,12,4,20,8,24,2016,2016-01-04 17:00:00,10_12_4_20_8_24,-10.6,16.83,-10.44,106,-1208,-1208
20,18,36,20,8,26,2016,2016-01-04 16:16:00,20_18_36_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,52,20,8,26,2016,2016-01-04 16:16:00,15_18_52_20_8_26,-3.35,17.18,-4.96,83,-344,-344
20,10,6,20,6,20,2016,2016-01-04 20:13:00,20_10_6_20_6_20,-4.88,13.22,-6.9,258,-1465,-1465
20,18,44,20,8,26,2016,2016-01-04 16:16:00,20_18_44_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,54,20,8,26,2016,2016-01-04 16:16:00,20_18_54_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,30,20,8,26,2016,2016-01-04 16:16:00,15_18_30_20_8_26,-3.35,17.18,-4.96,83,-344,-344
15,10,8,20,4,24,2016,2016-01-04 17:20:00,15_10_8_20_4_24,-5.9,13.72,-10.4,235,-1574,-1574
15,10,2,20,2,26,2016,2016-01-04 17:20:00,15_10_2_20_2_26,-2.65,10.92,-6.94,220,-759,-759
5,10,6,20,6,26,2016,2016-01-04 16:14:00,5_10_6_20_6_26,-10.0,16.68,-16.94,106,-1144,-1144
10,10,4,20,4,22,2016,2016-01-04 17:56:00,10_10_4_20_4_22,-2.4,11.32,-5.04,205,-656,-656
5,12,14,20,14,28,2016,2016-01-04 16:15:00,5_12_14_20_14_28,-11.62,21.24,-9.88,76,-943,-943
5,8,10,20,14,28,2016,2016-01-04 16:57:00,5_8_10_20_14_28,-8.41,21.56,-6.86,182,-1676,-1676
5,12,10,20,8,26,2016,2016-01-04 16:15:00,5_12_10_20_8_26,1.11,15.02,2.18,76,23,23
5,12,8,20,6,26,2016,2016-01-04 16:15:00,5_12_8_20_6_26,2.6,10.95,6.14,76,136,136
20,18,62,20,8,26,2016,2016-01-04 16:16:00,20_18_62_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,16,20,8,26,2016,2016-01-04 16:16:00,15_18_16_20_8_26,-3.35,17.18,-4.96,83,-344,-344
5,12,10,20,8,28,2016,2016-01-04 16:15:00,5_12_10_20_8_28,1.21,14.82,2.36,76,31,30
5,10,14,20,12,28,2016,2016-01-04 16:14:00,5_10_14_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
15,10,2,20,2,28,2016,2016-01-04 17:20:00,15_10_2_20_2_28,-2.43,10.7,-4.72,220,-710,-710
10,8,2,20,8,28,2016,2016-01-04 20:04:00,10_8_2_20_8_28,-7.92,17.91,-7.64,243,-2118,-2118
20,18,62,20,8,28,2016,2016-01-04 16:16:00,20_18_62_20_8_28,0.11,15.58,0.16,98,-67,-67
20,18,26,20,10,26,2016,2016-01-04 16:16:00,20_18_26_20_10_26,-4.72,18.58,-5.56,98,-540,-540
20,16,16,20,6,26,2016,2016-01-04 16:24:00,20_16_16_20_6_26,-2.54,15.14,-4.43,136,-454,-454
25,12,22,20,6,26,2016,2016-01-04 17:07:00,25_12_22_20_6_26,-7.08,16.49,-8.55,250,-1970,-1970
20,8,6,20,4,22,2016,2016-01-04 20:08:00,20_8_6_20_4_22,-4.5,12.18,-7.37,334,-1770,-1770
5,10,2,20,10,28,2016,2016-01-04 16:14:00,5_10_2_20_10_28,-10.3,19.85,-10.67,106,-1176,-1176
5,10,14,20,8,22,2016,2016-01-04 16:14:00,5_10_14_20_8_22,-12.05,14.94,-14.84,106,-1362,-1362
20,18,50,20,10,26,2016,2016-01-04 16:16:00,20_18_50_20_10_26,-4.72,18.58,-5.56,98,-540,-540
30,10,10,20,8,18,2016,2016-01-04 20:12:00,30_10_10_20_8_18,-5.52,12.82,-6.25,334,-2110,-2110
20,16,48,20,8,26,2016,2016-01-04 16:24:00,20_16_48_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,10,4,20,8,28,2016,2016-01-04 17:56:00,10_10_4_20_8_28,-6.4,18.23,-5.29,205,-1476,-1476
