bOPCL0,bOPCL1,bOPCL2,sEVNT0,sGAIN0,sLOSS0,year,lastDateTime,codeArgValStr,average,std,pipsPerHour,countPerMonth,pipsPerMonth,pipsPerMonthTotal
5,8,16,20,4,28,2016,2016-01-04 16:57:00,5_8_16_20_4_28,-5.54,15.07,-9.81,182,-1153,-1153
10,12,16,20,4,28,2016,2016-01-04 17:00:00,10_12_16_20_4_28,-10.74,16.6,-14.41,121,-1396,-1396
10,10,18,20,10,28,2016,2016-01-04 17:56:00,10_10_18_20_10_28,-6.79,18.55,-4.5,220,-1669,-1669
5,10,2,20,10,26,2016,2016-01-04 16:14:00,5_10_2_20_10_26,-11.59,17.8,-12.86,106,-1313,-1313
20,18,28,20,8,24,2016,2016-01-04 16:16:00,20_18_28_20_8_24,-1.08,15.2,-2.12,98,-184,-184
20,18,48,20,8,26,2016,2016-01-04 16:16:00,20_18_48_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,58,20,8,26,2016,2016-01-04 16:16:00,20_18_58_20_8_26,0.61,14.58,1.01,98,-18,-18
10,10,14,20,6,28,2016,2016-01-04 17:56:00,10_10_14_20_6_28,-5.89,16.28,-5.89,220,-1471,-1471
10,10,2,20,6,28,2016,2016-01-04 17:56:00,10_10_2_20_6_28,-4.02,15.48,-3.9,190,-915,-915
20,18,58,20,8,28,2016,2016-01-04 16:16:00,20_18_58_20_8_28,0.11,15.58,0.16,98,-67,-67
35,12,10,20,6,16,2016,2016-01-04 20:04:00,35_12_10_20_6_16,-3.12,11.27,-5.4,281,-1101,-1101
20,20,16,20,8,26,2016,2016-01-04 16:17:00,20_20_16_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,18,48,20,8,28,2016,2016-01-04 16:16:00,20_18_48_20_8_28,0.11,15.58,0.16,98,-67,-67
10,12,8,20,8,24,2016,2016-01-04 17:00:00,10_12_8_20_8_24,-11.78,15.95,-11.56,114,-1434,-1434
10,10,2,20,2,16,2016,2016-01-04 17:56:00,10_10_2_20_2_16,-0.1,6.53,-0.54,190,-171,-171
5,12,12,20,8,24,2016,2016-01-04 16:15:00,5_12_12_20_8_24,2.03,13.1,4.97,76,93,93
20,18,16,20,6,28,2016,2016-01-04 16:16:00,20_18_16_20_6_28,-0.7,15.09,-1.16,98,-147,-147
25,18,44,20,8,26,2016,2016-01-04 16:16:00,25_18_44_20_8_26,-3.91,17.03,-4.36,129,-607,-607
20,16,62,20,8,26,2016,2016-01-04 16:24:00,20_16_62_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,10,8,20,4,24,2016,2016-01-04 17:56:00,10_10_8_20_4_24,-4.12,12.75,-7.31,212,-1043,-1043
10,8,4,20,2,16,2016,2016-01-04 20:04:00,10_8_4_20_2_16,-1.25,7.28,-5.66,266,-545,-545
20,18,60,20,8,24,2016,2016-01-04 16:16:00,20_18_60_20_8_24,-1.08,15.2,-2.12,98,-184,-184
25,12,18,20,6,26,2016,2016-01-04 17:26:00,25_12_18_20_6_26,-5.89,15.87,-6.16,266,-1779,-1779
10,8,20,20,6,28,2016,2016-01-04 20:04:00,10_8_20_20_6_28,-6.35,16.0,-7.31,281,-2009,-2009
10,8,4,20,2,20,2016,2016-01-04 20:04:00,10_8_4_20_2_20,-1.43,8.33,-4.54,266,-593,-593
20,18,16,20,6,26,2016,2016-01-04 16:16:00,20_18_16_20_6_26,-0.2,14.09,-0.38,98,-98,-98
25,16,20,20,6,26,2016,2016-01-04 17:17:00,25_16_20_20_6_26,-5.82,16.65,-7.66,182,-1204,-1204
25,18,26,20,8,26,2016,2016-01-04 16:16:00,25_18_26_20_8_26,-3.91,17.03,-4.36,129,-607,-607
15,12,4,20,8,24,2016,2016-01-04 17:04:00,15_12_4_20_8_24,-8.06,17.05,-8.54,121,-1072,-1072
5,10,4,20,2,22,2016,2016-01-04 16:14:00,5_10_4_20_2_22,-0.59,6.34,-3.25,106,-147,-147
10,10,2,20,2,28,2016,2016-01-04 17:56:00,10_10_2_20_2_28,-1.38,10.01,-4.57,190,-414,-414
5,14,8,20,8,24,2016,2016-01-04 16:15:00,5_14_8_20_8_24,-0.76,15.72,-3.03,53,-82,-82
20,16,26,20,8,26,2016,2016-01-04 16:24:00,20_16_26_20_8_26,-1.31,15.94,-2.05,136,-286,-286
10,8,10,20,12,28,2016,2016-01-04 20:04:00,10_8_10_20_12_28,-7.25,19.06,-4.8,273,-2197,-2197
20,18,24,20,8,24,2016,2016-01-04 16:16:00,20_18_24_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,10,8,20,8,26,2016,2016-01-04 17:56:00,10_10_8_20_8_26,-7.21,16.82,-6.97,212,-1698,-1698
10,10,2,20,2,26,2016,2016-01-04 17:56:00,10_10_2_20_2_26,-1.25,9.64,-4.67,190,-389,-389
20,18,56,20,8,24,2016,2016-01-04 16:16:00,20_18_56_20_8_24,-1.08,15.2,-2.12,98,-184,-184
15,8,6,20,4,24,2016,2016-01-04 20:04:00,15_8_6_20_4_24,-3.69,12.48,-7.72,311,-1396,-1396
20,18,52,20,6,26,2016,2016-01-04 16:16:00,20_18_52_20_6_26,-0.27,14.04,-0.51,98,-104,-104
20,16,54,20,8,26,2016,2016-01-04 16:24:00,20_16_54_20_8_26,-1.31,15.94,-2.05,136,-286,-286
5,12,12,20,4,28,2016,2016-01-04 16:15:00,5_12_12_20_4_28,0.52,10.21,2.11,76,-21,-21
10,8,4,20,2,26,2016,2016-01-04 20:04:00,10_8_4_20_2_26,-1.77,9.93,-4.94,266,-683,-683
20,18,48,20,10,26,2016,2016-01-04 16:16:00,20_18_48_20_10_26,-4.72,18.58,-5.56,98,-540,-540
25,12,18,20,2,26,2016,2016-01-04 17:23:00,25_12_18_20_2_26,0.08,8.31,0.49,258,-185,-185
5,10,4,20,2,24,2016,2016-01-04 16:14:00,5_10_4_20_2_24,-0.91,7.48,-4.86,106,-181,-181
20,20,30,20,8,26,2016,2016-01-04 16:17:00,20_20_30_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,20,52,20,8,26,2016,2016-01-04 16:17:00,20_20_52_20_8_26,-1.89,16.47,-2.05,76,-204,-204
5,12,4,20,6,26,2016,2016-01-04 16:16:00,5_12_4_20_6_26,2.41,9.75,7.52,60,96,96
5,10,18,20,4,28,2016,2016-01-04 16:14:00,5_10_18_20_4_28,-5.32,14.89,-17.39,106,-648,-648
5,16,8,20,4,24,2016,2016-01-04 16:15:00,5_16_8_20_4_24,-2.85,12.33,-19.54,30,-109,-109
15,18,46,20,8,26,2016,2016-01-04 16:16:00,15_18_46_20_8_26,-3.35,17.18,-4.96,83,-344,-344
5,10,14,20,6,28,2016,2016-01-04 16:14:00,5_10_14_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
20,18,22,20,8,26,2016,2016-01-04 16:16:00,20_18_22_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,56,20,8,26,2016,2016-01-04 16:16:00,15_18_56_20_8_26,-3.35,17.18,-4.96,83,-344,-344
10,12,4,20,2,16,2016,2016-01-04 17:00:00,10_12_4_20_2_16,-2.06,7.52,-11.33,106,-303,-303
20,18,32,20,8,26,2016,2016-01-04 16:16:00,20_18_32_20_8_26,0.61,14.58,1.01,98,-18,-18
5,12,10,20,10,20,2016,2016-01-04 16:15:00,5_12_10_20_10_20,-2.23,14.71,-2.96,76,-230,-230
10,12,4,20,6,26,2016,2016-01-04 17:00:00,10_12_4_20_6_26,-8.83,16.38,-10.89,106,-1020,-1020
20,18,40,20,8,28,2016,2016-01-04 16:16:00,20_18_40_20_8_28,0.11,15.58,0.16,98,-67,-67
40,12,10,20,4,16,2016,2016-01-04 20:04:00,40_12_10_20_4_16,-1.65,9.12,-4.66,319,-781,-781
20,18,22,20,10,26,2016,2016-01-04 16:16:00,20_18_22_20_10_26,-4.72,18.58,-5.56,98,-540,-540
20,18,22,20,8,28,2016,2016-01-04 16:16:00,20_18_22_20_8_28,0.11,15.58,0.16,98,-67,-67
10,12,4,20,2,20,2016,2016-01-04 17:00:00,10_12_4_20_2_20,-3.16,9.7,-9.36,106,-419,-419
5,10,10,20,12,28,2016,2016-01-04 16:14:00,5_10_10_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
20,18,40,20,8,26,2016,2016-01-04 16:16:00,20_18_40_20_8_26,0.61,14.58,1.01,98,-18,-18
10,10,4,20,2,24,2016,2016-01-04 17:56:00,10_10_4_20_2_24,0.08,7.1,0.32,205,-147,-147
20,18,50,20,8,26,2016,2016-01-04 16:16:00,20_18_50_20_8_26,0.61,14.58,1.01,98,-18,-18
5,14,10,20,8,26,2016,2016-01-04 16:15:00,5_14_10_20_8_26,-1.33,16.7,-3.26,53,-112,-112
10,12,12,20,8,24,2016,2016-01-04 17:00:00,10_12_12_20_8_24,-10.75,16.43,-10.71,121,-1397,-1397
5,12,6,20,8,26,2016,2016-01-04 16:16:00,5_12_6_20_8_26,1.63,14.08,3.22,76,63,63
15,8,4,20,10,26,2016,2016-01-04 20:04:00,15_8_4_20_10_26,-7.89,17.97,-6.36,304,-2641,-2641
5,12,14,20,8,20,2016,2016-01-04 16:15:00,5_12_14_20_8_20,2.29,12.54,5.63,76,113,113
5,10,8,20,8,26,2016,2016-01-04 16:14:00,5_10_8_20_8_26,-14.2,16.58,-16.57,106,-1590,-1590
10,10,16,20,8,28,2016,2016-01-04 17:56:00,10_10_16_20_8_28,-7.6,17.63,-6.42,220,-1848,-1848
20,10,20,20,6,26,2016,2016-01-04 20:13:00,20_10_20_20_6_26,-7.74,16.03,-7.97,273,-2331,-2331
10,12,4,20,2,26,2016,2016-01-04 17:00:00,10_12_4_20_2_26,-4.39,12.1,-11.7,106,-550,-550
20,18,28,20,10,26,2016,2016-01-04 16:16:00,20_18_28_20_10_26,-4.72,18.58,-5.56,98,-540,-540
10,10,4,20,2,22,2016,2016-01-04 17:56:00,10_10_4_20_2_22,0.18,6.75,0.73,205,-127,-126
5,12,14,20,12,28,2016,2016-01-04 16:15:00,5_12_14_20_12_28,-11.67,21.03,-10.25,76,-947,-947
5,8,10,20,12,28,2016,2016-01-04 16:57:00,5_8_10_20_12_28,-9.18,20.68,-7.88,182,-1816,-1816
15,18,4,20,2,24,2016,2016-01-04 16:16:00,15_18_4_20_2_24,0.28,8.24,5.03,83,-43,-43
20,18,38,20,6,26,2016,2016-01-04 16:16:00,20_18_38_20_6_26,-0.27,14.04,-0.51,98,-104,-104
10,10,4,20,2,14,2016,2016-01-04 17:56:00,10_10_4_20_2_14,0.28,5.55,1.93,205,-106,-106
15,10,2,20,4,28,2016,2016-01-04 17:20:00,15_10_2_20_4_28,-4.3,13.72,-5.72,220,-1122,-1122
20,18,60,20,10,26,2016,2016-01-04 16:16:00,20_18_60_20_10_26,-4.72,18.58,-5.56,98,-540,-540
10,10,12,20,12,28,2016,2016-01-04 17:56:00,10_10_12_20_12_28,-6.19,19.1,-4.02,220,-1537,-1537
5,12,10,20,6,24,2016,2016-01-04 16:15:00,5_12_10_20_6_24,0.17,12.69,0.48,76,-47,-47
20,10,8,20,4,24,2016,2016-01-04 20:13:00,20_10_8_20_4_24,-5.36,13.34,-9.95,258,-1589,-1589
20,8,20,20,6,26,2016,2016-01-04 20:08:00,20_8_20_20_6_26,-7.3,15.95,-8.06,364,-2948,-2948
5,12,8,20,8,24,2016,2016-01-04 16:15:00,5_12_8_20_8_24,2.32,12.48,5.75,76,115,115
10,10,16,20,10,28,2016,2016-01-04 17:56:00,10_10_16_20_10_28,-6.79,18.55,-4.5,220,-1669,-1669
5,10,2,20,6,26,2017,2017-12-29 21:48:00,5_10_2_20_6_26,-5.29,59.87,-279.28,24,-146,-146
20,18,16,20,10,26,2016,2016-01-04 16:16:00,20_18_16_20_10_26,-1.83,17.5,-2.37,98,-257,-257
10,18,8,20,2,24,2016,2016-01-04 16:17:00,10_18_8_20_2_24,2.45,2.05,90.46,60,99,99
5,14,10,20,8,20,2016,2016-01-04 16:15:00,5_14_10_20_8_20,-0.09,14.51,-0.34,53,-47,-47
5,10,8,20,12,28,2016,2016-01-04 16:14:00,5_10_8_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
20,20,38,20,8,26,2016,2016-01-04 16:17:00,20_20_38_20_8_26,-1.89,16.47,-2.05,76,-204,-204
15,10,8,20,6,24,2016,2016-01-04 17:20:00,15_10_8_20_6_24,-5.88,14.99,-7.52,235,-1569,-1569
15,18,60,20,8,26,2016,2016-01-04 16:16:00,15_18_60_20_8_26,-3.35,17.18,-4.96,83,-344,-344
20,18,14,20,8,26,2016,2016-01-04 16:16:00,20_18_14_20_8_26,0.55,14.55,0.93,98,-24,-24
20,8,20,20,6,28,2016,2016-01-04 20:08:00,20_8_20_20_6_28,-7.62,16.57,-7.82,364,-3064,-3064
20,18,30,20,8,28,2016,2016-01-04 16:16:00,20_18_30_20_8_28,0.11,15.58,0.16,98,-67,-67
5,10,12,20,8,24,2016,2016-01-04 16:14:00,5_10_12_20_8_24,-13.16,15.78,-15.65,106,-1479,-1479
20,18,52,20,8,26,2016,2016-01-04 16:16:00,20_18_52_20_8_26,0.61,14.58,1.01,98,-18,-18
10,10,6,20,2,24,2016,2016-01-04 17:56:00,10_10_6_20_2_24,-0.65,8.42,-2.37,212,-307,-307
20,18,42,20,8,26,2016,2016-01-04 16:16:00,20_18_42_20_8_26,0.61,14.58,1.01,98,-18,-18
5,10,16,20,12,28,2016,2016-01-04 16:14:00,5_10_16_20_12_28,-12.7,20.24,-11.84,106,-1431,-1431
25,14,20,20,6,26,2016,2016-01-04 17:33:00,25_14_20_20_6_26,-6.13,16.48,-8.76,205,-1420,-1420
20,18,30,20,8,26,2016,2016-01-04 16:16:00,20_18_30_20_8_26,0.61,14.58,1.01,98,-18,-18
15,18,44,20,8,26,2016,2016-01-04 16:16:00,15_18_44_20_8_26,-3.35,17.18,-4.96,83,-344,-344
20,18,20,20,8,26,2016,2016-01-04 16:16:00,20_18_20_20_8_26,0.61,14.58,1.01,98,-18,-18
5,10,16,20,6,28,2016,2016-01-04 16:14:00,5_10_16_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
5,14,8,20,6,24,2016,2016-01-04 16:15:00,5_14_8_20_6_24,-2.39,14.63,-11.13,53,-169,-169
20,18,24,20,10,26,2016,2016-01-04 16:16:00,20_18_24_20_10_26,-4.72,18.58,-5.56,98,-540,-540
20,18,52,20,8,28,2016,2016-01-04 16:16:00,20_18_52_20_8_28,0.11,15.58,0.16,98,-67,-67
35,10,10,20,6,18,2016,2016-01-04 20:17:00,35_10_10_20_6_18,-4.12,11.8,-6.0,311,-1530,-1530
15,10,4,20,2,20,2016,2016-01-04 17:20:00,15_10_4_20_2_20,-1.72,8.76,-5.79,228,-574,-574
10,12,14,20,6,28,2016,2016-01-04 17:00:00,10_12_14_20_6_28,-11.31,17.53,-12.8,121,-1465,-1465
5,12,4,20,8,26,2016,2016-01-04 16:16:00,5_12_4_20_8_26,4.47,10.67,11.55,60,220,220
20,18,52,20,10,26,2016,2016-01-04 16:16:00,20_18_52_20_10_26,-4.72,18.58,-5.56,98,-540,-540
15,10,4,20,2,16,2016,2016-01-04 17:20:00,15_10_4_20_2_16,-1.63,7.74,-6.35,228,-554,-554
35,10,10,20,6,16,2016,2016-01-04 20:17:00,35_10_10_20_6_16,-3.69,11.28,-5.88,311,-1396,-1396
10,10,2,20,8,26,2016,2016-01-04 17:56:00,10_10_2_20_8_26,-5.14,16.62,-4.79,190,-1128,-1128
30,12,8,20,8,18,2016,2016-01-04 17:27:00,30_12_8_20_8_18,-4.19,13.07,-5.77,258,-1287,-1287
10,12,8,20,6,24,2016,2016-01-04 17:00:00,10_12_8_20_6_24,-10.51,15.3,-12.74,114,-1289,-1289
5,8,16,20,12,28,2016,2016-01-04 16:57:00,5_8_16_20_12_28,-9.18,20.68,-7.88,182,-1816,-1816
25,8,6,20,4,20,2016,2016-01-04 20:07:00,25_8_6_20_4_20,-3.09,10.97,-4.75,326,-1268,-1268
25,10,18,20,2,26,2016,2016-01-04 20:14:00,25_10_18_20_2_26,-0.06,7.47,-0.13,326,-280,-280
5,12,12,20,12,28,2016,2016-01-04 16:15:00,5_12_12_20_12_28,-11.67,21.03,-10.25,76,-947,-947
25,10,8,20,4,18,2016,2016-01-04 20:14:00,25_10_8_20_4_18,-3.57,10.75,-6.35,311,-1359,-1359
5,10,12,20,14,28,2016,2016-01-04 16:14:00,5_10_12_20_14_28,-12.1,21.03,-10.78,106,-1367,-1367
10,10,2,20,8,28,2016,2016-01-04 17:56:00,10_10_2_20_8_28,-4.24,17.06,-3.68,190,-957,-957
10,10,14,20,8,28,2016,2016-01-04 17:56:00,10_10_14_20_8_28,-7.6,17.63,-6.42,220,-1848,-1848
10,10,6,20,2,22,2016,2016-01-04 17:56:00,10_10_6_20_2_22,-0.55,8.14,-2.09,212,-286,-286
5,8,8,20,12,28,2016,2016-01-04 16:57:00,5_8_8_20_12_28,-9.18,20.68,-7.88,182,-1816,-1816
25,12,24,20,6,26,2016,2016-01-04 17:23:00,25_12_24_20_6_26,-6.69,16.17,-6.85,266,-1992,-1992
15,12,4,20,6,24,2016,2016-01-04 17:04:00,15_12_4_20_6_24,-9.23,15.88,-10.54,121,-1213,-1213
20,18,16,20,8,26,2016,2016-01-04 16:16:00,20_18_16_20_8_26,0.61,14.58,1.02,98,-18,-18
15,10,4,20,10,26,2016,2016-01-04 17:20:00,15_10_4_20_10_26,-10.15,17.88,-9.06,228,-2496,-2496
5,10,20,20,6,28,2016,2016-01-04 16:14:00,5_10_20_20_6_28,-9.36,18.56,-13.95,106,-1076,-1076
25,12,8,20,8,18,2016,2016-01-04 17:23:00,25_12_8_20_8_18,-5.23,13.36,-7.58,235,-1417,-1417
10,10,14,20,12,28,2016,2016-01-04 17:56:00,10_10_14_20_12_28,-6.24,19.15,-4.05,220,-1548,-1548
20,18,58,20,10,26,2016,2016-01-04 16:16:00,20_18_58_20_10_26,-4.72,18.58,-5.56,98,-540,-540
20,20,48,20,8,26,2016,2016-01-04 16:17:00,20_20_48_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,20,58,20,8,26,2016,2016-01-04 16:17:00,20_20_58_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,18,16,20,8,28,2016,2016-01-04 16:16:00,20_18_16_20_8_28,0.11,15.58,0.16,98,-67,-67
5,12,12,20,6,24,2016,2016-01-04 16:15:00,5_12_12_20_6_24,0.38,12.21,1.07,76,-31,-30
15,14,4,20,2,24,2016,2016-01-04 16:14:00,15_14_4_20_2_24,-3.56,9.32,-11.43,98,-427,-427
20,18,38,20,8,26,2016,2016-01-04 16:16:00,20_18_38_20_8_26,0.61,14.58,1.01,98,-18,-18
20,18,28,20,8,26,2016,2016-01-04 16:16:00,20_18_28_20_8_26,0.61,14.58,1.01,98,-18,-18
15,10,6,20,4,24,2016,2016-01-04 17:20:00,15_10_6_20_4_24,-5.32,13.53,-9.13,228,-1395,-1395
10,8,18,20,10,28,2016,2016-01-04 20:04:00,10_8_18_20_10_28,-7.75,18.33,-5.27,281,-2402,-2402
20,18,28,20,8,28,2016,2016-01-04 16:16:00,20_18_28_20_8_28,0.11,15.58,0.16,98,-67,-67
20,8,6,20,4,20,2016,2016-01-04 20:08:00,20_8_6_20_4_20,-3.66,10.91,-6.26,334,-1489,-1489
25,16,22,20,6,26,2016,2016-01-04 17:17:00,25_16_22_20_6_26,-6.05,16.62,-7.88,182,-1246,-1246
5,10,2,20,8,28,2016,2016-01-04 16:14:00,5_10_2_20_8_28,-10.56,19.47,-11.44,106,-1204,-1204
10,10,4,20,4,16,2016,2016-01-04 17:56:00,10_10_4_20_4_16,-2.55,9.93,-7.8,205,-686,-686
15,10,8,20,8,24,2016,2016-01-04 17:20:00,15_10_8_20_8_24,-5.66,16.21,-6.54,235,-1518,-1518
40,10,10,20,4,16,2016,2016-01-04 20:03:00,40_10_10_20_4_16,-1.55,9.28,-3.33,372,-874,-874
25,18,24,20,8,26,2016,2016-01-04 16:16:00,25_18_24_20_8_26,-3.91,17.03,-4.36,129,-607,-607
5,10,6,20,6,24,2016,2016-01-04 16:14:00,5_10_6_20_6_24,-9.18,15.83,-15.93,106,-1057,-1057
10,10,4,20,4,20,2016,2016-01-04 17:56:00,10_10_4_20_4_20,-1.76,10.21,-4.56,205,-524,-524
20,16,60,20,8,26,2016,2016-01-04 16:24:00,20_16_60_20_8_26,-1.31,15.94,-2.05,136,-286,-286
25,18,46,20,8,26,2016,2016-01-04 16:16:00,25_18_46_20_8_26,-3.91,17.03,-4.36,129,-607,-607
20,18,44,20,10,26,2016,2016-01-04 16:16:00,20_18_44_20_10_26,-4.72,18.58,-5.56,98,-540,-540
5,12,8,20,6,24,2016,2016-01-04 16:15:00,5_12_8_20_6_24,3.76,8.42,12.06,83,245,244
35,10,8,20,6,16,2016,2016-01-04 20:17:00,35_10_8_20_6_16,-3.15,11.06,-5.52,311,-1228,-1228
20,18,40,20,6,26,2016,2016-01-04 16:16:00,20_18_40_20_6_26,-0.27,14.04,-0.51,98,-104,-104
20,18,50,20,6,26,2016,2016-01-04 16:16:00,20_18_50_20_6_26,-0.27,14.04,-0.51,98,-104,-104
15,8,4,20,4,24,2016,2016-01-04 20:04:00,15_8_4_20_4_24,-2.55,11.69,-5.64,304,-1018,-1018
25,14,8,20,8,18,2016,2016-01-04 17:33:00,25_14_8_20_8_18,-5.96,13.97,-8.7,205,-1385,-1385
20,16,46,20,8,26,2016,2016-01-04 16:24:00,20_16_46_20_8_26,-1.31,15.94,-2.05,136,-286,-286
25,18,60,20,8,26,2016,2016-01-04 16:16:00,25_18_60_20_8_26,-3.91,17.03,-4.36,129,-607,-607
15,14,4,20,6,24,2016,2016-01-04 16:14:00,15_14_4_20_6_24,-10.79,15.42,-12.32,106,-1228,-1228
10,8,16,20,12,28,2016,2016-01-04 20:04:00,10_8_16_20_12_28,-6.76,19.06,-4.47,281,-2124,-2124
20,16,24,20,8,26,2016,2016-01-04 16:24:00,20_16_24_20_8_26,-1.31,15.94,-2.05,136,-286,-286
20,18,26,20,8,24,2016,2016-01-04 16:16:00,20_18_26_20_8_24,-1.08,15.2,-2.12,98,-184,-184
10,12,4,20,8,26,2016,2016-01-04 17:00:00,10_12_4_20_8_26,-11.78,17.94,-11.44,106,-1333,-1333
20,10,18,20,4,26,2016,2016-01-04 20:13:00,20_10_18_20_4_26,-6.21,14.19,-10.08,273,-1913,-1913
5,10,8,20,6,26,2016,2016-01-04 16:14:00,5_10_8_20_6_26,-10.0,16.68,-16.94,106,-1144,-1144
10,10,4,20,4,26,2016,2016-01-04 17:56:00,10_10_4_20_4_26,-3.08,12.61,-5.64,205,-795,-795
30,10,10,20,4,16,2016,2016-01-04 20:12:00,30_10_10_20_4_16,-2.56,9.79,-5.97,334,-1122,-1122
10,10,20,20,6,28,2016,2016-01-04 17:56:00,10_10_20_20_6_28,-5.89,16.28,-5.89,220,-1471,-1471
20,20,40,20,8,26,2016,2016-01-04 16:17:00,20_20_40_20_8_26,-1.89,16.47,-2.05,76,-204,-204
5,12,8,20,6,22,2016,2016-01-04 16:15:00,5_12_8_20_6_22,3.31,8.73,10.4,76,190,190
5,12,10,20,8,22,2016,2016-01-04 16:15:00,5_12_10_20_8_22,2.08,12.99,5.16,76,97,97
20,20,50,20,8,26,2016,2016-01-04 16:17:00,20_20_50_20_8_26,-1.89,16.47,-2.05,76,-204,-204
30,14,8,20,8,18,2016,2016-01-04 17:35:00,30_14_8_20_8_18,-4.03,13.04,-6.35,197,-951,-951
20,16,18,20,6,28,2016,2016-01-04 16:24:00,20_16_18_20_6_28,-2.82,15.81,-4.47,136,-492,-492
20,20,22,20,8,26,2016,2016-01-04 16:17:00,20_20_22_20_8_26,-1.89,16.47,-2.05,76,-204,-204
20,16,18,20,6,26,2016,2016-01-04 16:24:00,20_16_18_20_6_26,-2.46,15.2,-4.26,136,-443,-443
